id,nom,places,capacite,derniere_mise_a_jour_base,derniere_actualisation_bo,taux_doccupation,geo_point_2d,parking_id,inserted_at,updated_at
68,GARE TOUMAI,465,632,2023-09-04 23:20:07,2023-09-04 23:20:06,26.424050632911396,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-04 23:23:47,2023-09-04 23:23:47
86,NOTRE DAME,446,642,2023-09-04 23:20:07,2023-09-04 23:20:06,30.529595015576323,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-04 23:24:02,2023-09-04 23:24:02
98,PALAIS DE JUSTICE,68,70,2023-09-04 23:22:08,2023-09-04 23:22:07,2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-04 23:24:08,2023-09-04 23:24:08
116,THEATRE,218,320,2023-09-04 23:22:08,2023-09-04 23:22:07,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:24:23,2023-09-04 23:24:23
124,GARE TOUMAI,465,632,2023-09-04 23:22:07,2023-09-04 23:22:07,26.424050632911396,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-04 23:24:28,2023-09-04 23:24:28
130,THEATRE,218,320,2023-09-04 23:22:08,2023-09-04 23:22:07,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:24:33,2023-09-04 23:24:33
1243,THEATRE,96,320,2023-09-05 09:34:11,2023-09-05 09:34:20,70,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-05 09:36:19,2023-09-05 09:36:19
1254,BLOSSAC TISON,288,665,2023-09-05 09:38:41,2023-09-05 09:38:44,56.69172932330827,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-05 09:41:19,2023-09-05 09:41:19
1273,ARRET MINUTE,33,137,2023-09-05 09:44:12,2023-09-05 09:44:31,75.91240875912408,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-05 09:46:21,2023-09-05 09:46:21
1289,BLOSSAC TISON,284,665,2023-09-05 09:50:14,2023-09-05 09:50:31,57.29323308270676,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-05 09:53:52,2023-09-05 09:53:52
1300,GARE TOUMAI,242,632,2023-09-05 09:54:15,2023-09-05 09:54:24,61.70886075949367,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-05 09:56:22,2023-09-05 09:56:22
1308,ARRET MINUTE,37,137,2023-09-05 09:56:15,2023-09-05 09:56:24,72.99270072992701,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-05 09:58:52,2023-09-05 09:58:52
1314,GARE TOUMAI,241,632,2023-09-05 10:00:17,2023-09-05 10:00:25,61.86708860759494,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-05 10:01:22,2023-09-05 10:01:22
1324,BLOSSAC TISON,290,665,2023-09-05 10:04:17,2023-09-05 10:04:26,56.390977443609025,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-05 10:06:23,2023-09-05 10:06:23
1335,GARE TOUMAI,238,632,2023-09-05 10:06:19,2023-09-05 10:06:28,62.34177215189873,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-05 10:08:53,2023-09-05 10:08:53
